127.0.0.1 - - [18/Nov/2014:10:35:14 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:35:16 +0100] "GET /WholesalerWebDemo/ HTTP/1.1" 200 2324
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:35:16 +0100] "GET /WholesalerWebDemo/default.css HTTP/1.1" 200 1438
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:35:16 +0100] "GET /WholesalerWebDemo/images/logo_de.png HTTP/1.1" 200 2737
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:35:21 +0100] "GET /WholesalerWebDemo/controllerservlet;jsessionid=9A806468838727BAFA45094EB7A183F3?action=login&role=1&username=internal1&password=internal1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:35:22 +0100] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:35:22 +0100] "GET /WholesalerWebDemo/images/buttons/home.png HTTP/1.1" 200 4046
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:35:22 +0100] "GET /WholesalerWebDemo/images/buttons/catalog.png HTTP/1.1" 200 4064
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:35:22 +0100] "GET /WholesalerWebDemo/images/buttons/order.png HTTP/1.1" 200 4133
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:35:22 +0100] "GET /WholesalerWebDemo/images/overview.png HTTP/1.1" 200 97230
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:35:24 +0100] "GET /WholesalerWebDemo/controllerservlet?action=showProductList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:35:24 +0100] "GET /WholesalerWebDemo/products.jsp HTTP/1.1" 200 8742
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:37:18 +0100] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:37:27 +0100] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:37:28 +0100] "GET /WholesalerWebDemo/controllerservlet?action=showProductList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:37:28 +0100] "GET /WholesalerWebDemo/products.jsp HTTP/1.1" 200 8742
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:37:47 +0100] "GET /WholesalerWebDemo/controllerservlet?action=showProductDetail&orderNumberCustomer=mer-stift-2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:37:48 +0100] "GET /WholesalerWebDemo/product_detail.jsp HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [18/Nov/2014:10:37:48 +0100] "GET /WholesalerWebDemo/layout.css HTTP/1.1" 200 2401
